group,dataset,rel_path,size_kb,role_in_analysis
Demand,DSEC Key Indicator 27 - monthly visitor arrivals,data\dsec_timeseries\DSEC_KeyIndicator_27.json,77.7,"Total visitor arrivals per month, 2008-01..2026-08 (224 months) - macro demand trend"
Demand,DSEC Key Indicator 127 - same-day visitor arrivals,data\dsec_timeseries\DSEC_KeyIndicator_127.json,77.7,Same-day (non-overnight) arrivals per month - tourist type mix
Demand,DSEC Key Indicator 28 - arrivals year-on-year change,data\dsec_timeseries\DSEC_KeyIndicator_28.json,79.7,Year-on-year % change - growth context for 2025/2026
Demand,MGTO Data+ district x hour visitor headcount (41 monthly files),data\mgtodataplus\MacaoDistrictTourismData_YYYYMM_en.xlsx,,"24 statistical districts x 24 hour slots visitor headcount, 2023-01..2026-07 - SPATIAL+TEMPORAL demand core"
Demand,data.gov.mo tidy district x hour headcount,data\gov_mo_datasets\dst_visitor_01_stats.xlsx,142.0,Same indicator in tidy long form (2026 months 1-7) - independent copy / cross-check
Demand,data.gov.mo district visits by origin,data\gov_mo_datasets\dst_visitor_02_stats.xlsx,40.9,Person-time per district by origin - demand intensity by market
Demand,Golden-week daily arrivals,data\gov_mo_datasets\dst_goldenweekvisitor.xlsx,21.7,Daily total + mainland arrivals during Spring Festival / 1 October Golden Weeks (2017-2026) - event demand
Supply,Bus stop master (routes/stops JSON),data\github_macau-bus-data\macau-bus-data-master\stops.json,104.3,586 bus stops with lat/lng - supply geography
Supply,Bus route master (routes JSON),data\github_macau-bus-data\macau-bus-data-master\routes.json,798.9,91 routes with ordered stop lists - route geography and service intensity
Supply,Route timetable / headway windows,data\github_macau-bus-data\macau-bus-data-master\route-schedule,12.0,"920 route-direction-time windows with headway (e.g. 4-8 min), weekday vs weekend - SUPPLY CAPACITY core"
Supply,DSAT bus network shapefiles + route sequence,data\data.gov.mo_bus_route_shp\ExportShapeFile20260919,4.0,"BUS_POLE/ROUTE_NETWORK shapes and BUS_ROUTE_SEQ.xls (23,535 stop-sequence rows) - official cross-check"
Supply,Official monthly public bus fleet,data\gov_mo_datasets\Number_of_buses.xlsx,9.0,"Buses in service by month, 2019-01.. - capacity stock"
Supply,Official monthly public bus stop count,data\gov_mo_datasets\Total_number_of public_bus_stops.xlsx,8.9,"Registered bus stops by month, 2019-01.. - network stock"
Supply,Official annual public bus ridership,data\gov_mo_datasets\Number_of_public_bus_rides.xlsx,8.0,"Annual passenger trips 2018..2025 (2025: 231,497,093) - realised load"
Supply,Hotel / casino shuttle ridership and departures,data\gov_mo_datasets\Hotel_casino_shuttle_bus_ridership_and_departure_frequency.xlsx,9.6,Quarterly shuttle passenger trips + departures 2020Q1..2026Q1 - parallel tourist transport channel
Supply,Land-port cross-border vehicle flow,data\gov_mo_datasets\陸路口岸跨境汽車流量(架次).xlsx,8.8,Vehicles per land checkpoint per year - gateway pressure proxy
Supply,Checkpoint arrivals/departures by residency,data\gov_mo_datasets\各入境事務站出入境人數.xlsx,36.1,Annual in/out flows per checkpoint and residency group
Event,MOPubBus smart-card/AVL trip records (figshare mirror),data\mopubbus,4.0,"Trip-level passenger-flow level (0-5) and traffic condition (1-3) for routes 3 and AP1, normal vs Grand Prix weeks"
