dataset,verdict,reason
DSEC KI-27 / 127 / 28 monthly arrivals,Usable,"Independent official monthly demand benchmark 2008-2026; used for trend, seasonality, YoY and per-visitor load ratios."
MGTO district x hour headcount (43 months),Usable - core,"The only source that gives visitor demand by district AND hour; core of the spatial-temporal match. Values are monthly averages per hour slot, so intra-month events are smoothed."
data.gov.mo dst_visitor_01 (2026 M1-M7),Usable - cross-check,Tidy duplicate of the MGTO indicator; used to validate the MGTO parse (identical totals).
Golden-week daily arrivals,Usable - event view,Daily granularity only for Spring Festival / 1 Oct weeks 2017-2026; used for peak-demand context.
Bus stops + routes JSON (586 / 91),Usable - core,"Provides real coordinates and route-stop membership; enables zone geography, service intensity and bridge-crossing structure."
Route timetables (920 windows),Usable - core,Headway ranges give scheduled departures per hour; midpoint conversion is an approximation (documented).
DSAT shapefiles / BUS_ROUTE_SEQ,Usable - cross-check,Official stop/route inventories; used to confirm network size (612 poles / 97 route numbers).
Fleet / stop stock / annual ridership,Usable - context,Monthly and annual capacity stock; annual granularity limits monthly elasticity analysis.
Shuttle ridership + departures,Usable - complementary supply,Quarterly channel carrying visitors directly from gateways to properties; complements the public bus picture.
MOPubBus trip records,Usable - event + crowding,"Trip-level crowd level and traffic condition for 2 routes only (3, AP1), normal vs Grand Prix weeks; used for the event view, not for network-wide claims."
Cross-border vehicle flow,Usable - gateway pressure,Annual per-port vehicle counts; used as a demand-pressure proxy at checkpoints.
